Grajaú,38.671,1,1,7,20,28,10,10,1,2,1,1,1,83
ÁreaProgramática3.1,886.551,26,16,114,371,501,363,150,92,45,47,67,150,1.942
XRamos,153.177,7,7,37,132,132,96,19,14,5,3,8,26,486
Manguinhos,36.160,0,2,3,19,24,9,4,1,0,2,2,7,73
Bonsucesso,18.711,1,1,4,14,26,28,9,4,2,1,3,8,101
Ramos,40.792,0,0,11,37,39,44,2,5,2,0,1,5,146
Olaria,57.514,6,4,19,62,43,15,4,4,1,0,2,6,166
XIPenha,321.887,13,5,34,104,167,165,96,54,27,29,41,75,810
Penha,78.678,7,2,12,30,50,57,23,6,5,11,2,11,216
PenhaCircular,47.816,0,1,2,20,25,12,8,5,3,0,7,4,87
BrásdePina,59.222,2,0,4,12,14,27,26,12,3,6,6,22,134
Cordovil,45.202,2,2,8,15,32,30,22,14,10,5,13,8,161
ParadadeLucas,23.923,0,0,4,6,9,6,2,6,4,0,2,5,44
VigárioGeral,41.820,2,0,3,9,19,15,10,7,1,4,3,17,90
JardimAmérica,25.226,0,0,1,12,18,18,5,4,1,3,8,8,78
XXIlhaDoGovernador,212.574,3,3,29,74,53,28,14,11,8,12,13,24,272
Ribeira,3.528,0,0,0,1,0,1,0,0,0,0,0,0,2
Zumbi,2.016,0,0,0,0,1,2,0,0,0,0,0,0,3
Cacuia,11.013,0,0,0,3,1,3,0,1,1,0,1,2,12
Pitangueiras,11.756,0,0,2,11,3,3,2,2,0,1,1,1,26
PraiadaBandeira,5.948,0,0,0,0,0,0,0,0,1,1,0,0,2
Cocotá,4.877,0,0,0,3,2,2,1,0,0,1,2,3,14
Bancários,12.512,0,0,2,6,2,0,0,1,0,1,0,1,13
Freguesia(IlhadoGovernador),19.437,1,0,7,7,1,1,1,0,0,1,0,1,20
JardimGuanabara,32.213,0,0,4,9,6,4,0,1,1,0,2,3,30
JardimCarioca,24.848,1,2,1,9,4,2,1,2,3,4,0,3,32
Tauá,29.567,1,0,2,7,7,1,2,2,0,1,2,1,26
Moneró,6.476,0,0,0,0,1,1,0,0,0,0,0,0,2
Portuguesa,23.856,0,0,7,2,6,4,3,1,2,1,3,1,30
Galeão,22.971,0,1,4,16,16,4,4,1,0,0,2,8,56
CidadeUniversitária,1.556,0,0,0,0,3,0,0,0,0,1,0,0,4
XXIXComplexodoAlemão,69.143,2,1,13,55,142,71,20,11,3,2,4,23,347
ComplexodoAlemão,69.143,2,1,13,55,142,71,20,11,3,2,4,23,347
XXXMaré,129.77,1,0,1,6,7,3,1,2,2,1,1,2,27
Maré,129.77,1,0,1,6,7,3,1,2,2,1,1,2,27
ÁreaProgramática3.2,569.97,19,23,61,218,379,239,97,56,22,28,51,90,1.283
XIIInhaúma,134.349,4,6,7,46,144,91,28,17,10,8,15,42,418
Higienópolis,15.734,0,0,0,12,13,4,0,1,0,0,1,5,36
MariadaGraça,7.972,0,0,2,2,7,6,0,0,1,1,1,1,21
DelCastilho,15.61,1,1,2,6,21,5,9,3,3,0,1,6,58
Inhaúma,45.698,2,2,2,19,76,64,12,7,4,4,4,15,211
EngenhodaRainha,26.659,1,3,1,6,19,8,4,3,1,1,5,12,64
TomasCoelho,22.676,0,0,0,1,8,4,3,3,1,2,3,3,28
XIIIMéier,397.782,14,16,52,165,229,144,66,33,12,19,36,46,832
Jacaré,9.276,1,0,3,4,11,4,3,7,0,1,0,2,36
SãoFranciscoXavier,8.343,0,1,0,2,14,1,2,0,0,0,0,0,20
Rocha,8.766,0,0,0,12,4,5,0,1,0,2,1,1,26
Riachuelo,12.653,1,1,2,9,8,3,7,0,1,0,1,1,34
Sampaio,10.895,0,0,3,6,5,4,3,0,0,2,1,2,26
EngenhoNovo,42.172,0,0,4,16,24,19,5,5,2,4,8,6,93
LinsdeVasconcelos,37.487,0,1,3,22,21,10,4,3,3,2,1,4,74
Méier,49.828,4,3,10,23,29,34,10,3,2,0,5,9,132
TodosdsSantos,24.646,2,0,1,5,12,10,2,3,0,0,0,2,37
Cachambi,42.415,1,3,4,13,24,12,8,2,1,2,2,2,74
EngenhodeDentro,45.54,1,3,10,31,32,16,5,3,0,1,0,3,105
ÁguaSanta,8.756,0,0,0,1,1,1,0,0,0,0,1,1,5
Encantado,15.021,0,0,1,4,7,3,3,0,1,0,1,3,23
Piedade,43.378,3,3,2,4,14,8,8,5,0,3,6,7,63
Abolição,11.356,0,0,3,1,4,8,4,1,0,0,3,1,25
Pilares,27.25,1,1,6,12,19,6,2,0,2,2,6,2,59
XVIIIJacarezinho,37.839,1,1,2,7,6,4,3,6,0,1,0,2,33
Jacarezinho,37.839,1,1,2,7,6,4,3,6,0,1,0,2,33
ÁreaProgramática3.3,942.638,13,27,85,420,730,695,361,312,185,159,171,210,3.368
XIVIrajá,202.952,8,7,34,164,277,273,156,95,44,62,68,43,1.231
VilaKosmos,18.274,3,1,3,26,36,10,3,2,0,1,1,1,87
VicentedeCarvalho,24.964,0,2,3,12,35,19,10,9,3,2,2,3,100
ViladaPenha,25.465,0,2,6,17,26,20,13,6,1,2,2,5,100
VistaAlegre,8.622,0,0,2,13,8,9,8,2,7,3,8,5,65
Irajá,96.382,3,2,15,67,123,157,89,53,23,37,38,11,618
Colégio,29.245,2,0,5,29,49,58,33,23,10,17,17,18,261
XVMadureira,372.555,3,13,23,140,278,265,120,148,96,76,56,73,1.291
Campinho,10.156,1,1,2,7,20,8,1,5,3,2,1,5,56
QuintinoBocaiúva,31.185,0,1,0,9,12,10,5,8,4,2,5,3,59
Cavalcanti,16.141,0,1,1,3,5,6,2,2,1,3,3,0,27
EngenheiroLeal,6.113,0,0,0,2,2,1,0,2,3,2,2,2,16
Cascadura,34.456,0,1,1,9,17,24,11,5,6,15,6,5,100
Madureira,50.106,1,3,5,27,49,55,21,13,17,8,4,11,214
VazLobo,15.167,0,0,1,9,10,11,1,0,0,3,1,2,38
Turiaçu,17.246,0,0,4,1,8,9,6,7,11,9,5,2,62
RochaMiranda,44.188,1,2,3,20,55,65,39,59,26,7,6,16,299
HonórioGurgel,21.989,0,1,1,3,15,9,7,9,13,12,2,8,80
OswaldoCruz,34.04,0,0,1,17,35,26,10,10,4,4,6,2,115
BentoRibeiro,43.707,0,0,2,20,28,23,9,13,5,6,4,5,115
MarechalHermes,48.061,0,3,2,13,22,18,8,15,3,3,11,12,110
XXIIAnchieta,158.318,0,1,12,49,54,54,27,11,6,3,12,20,249
Guadalupe,47.144,0,1,2,22,31,25,17,7,2,3,6,10,126
Anchieta,55.652,0,0,7,19,14,19,4,3,1,0,1,4,72
ParqueAnchieta,26.212,0,0,1,3,5,4,1,1,0,0,1,2,18
RicardodeAlbuquerque,29.31,0,0,2,5,4,6,5,0,3,0,4,4,33
XXVPavuna,208.813,2,6,16,67,121,103,58,58,39,18,35,74,597
CoelhoNeto,32.423,1,1,5,17,21,15,16,15,17,2,8,12,130
Acari,27.347,0,1,2,19,35,45,22,19,13,9,3,4,172
BarrosFilho,14.049,0,1,3,4,10,6,6,9,3,0,1,8,51
CostaBarros,28.442,0,0,2,10,20,11,4,3,1,2,9,19,81
Pavuna,97.35,1,3,4,17,35,26,10,12,5,5,14,31,163
ParqueColumbia,9.202,0,0,0,0,0,0,0,0,0,0,0,0,0
ÁreaProgramática4.0,909.368,11,35,104,380,403,162,85,80,21,22,57,340,1.7
XVIJacarepagua,572.03,7,17,47,247,282,112,61,61,18,20,40,222,1.134
Jacarepaguá,157.326,2,3,8,39,51,12,10,10,1,2,9,43,190
Anil,24.172,0,1,3,4,7,5,2,2,0,1,1,21,47
GardêniaAzul,17.715,0,1,2,7,10,6,1,3,0,0,2,17,49
Curicica,31.189,0,0,0,20,21,4,2,5,0,0,4,28,84
Freguesia(Jacarepaguá),70.511,3,6,4,37,26,20,5,2,0,1,4,28,136
Pechincha,34.709,1,2,5,24,23,8,6,2,0,0,2,9,82
Taquara,102.126,0,2,8,62,66,16,16,13,1,0,3,42,229
Tanque,37.856,0,0,2,21,23,7,5,5,2,2,4,9,80
PraçaSeca,64.147,1,1,11,18,27,23,8,14,10,11,5,17,146
VilaValqueire,32.279,0,1,4,15,28,11,6,5,4,3,6,8,91
XXXIVCidadeDeDeus,36.515,0,1,0,5,11,2,2,0,0,0,3,38,62
CidadedeDeus,36.515,0,1,0,5,11,2,2,0,0,0,3,38,62
XXIVBarraDaTijuca,300.823,4,17,57,128,110,48,22,19,3,2,14,80,504
Joá,818,0,0,0,0,0,0,0,0,0,0,0,0,0
Itanhangá,38.415,0,0,1,11,14,11,5,3,0,0,1,16,62
BarradaTijuca,135.924,1,10,27,55,51,15,7,6,1,2,8,23,206
Camorim,1.97,0,0,0,2,1,0,1,0,0,0,1,1,6
VargemPequena,27.25,0,3,1,8,8,4,0,1,0,0,0,4,29
VargemGrande,14.039,2,1,5,2,8,2,1,1,1,0,2,9,34
RecreiodosBandeirantes,82.24,1,3,23,50,28,16,8,8,1,0,2,27,167
Grumari,167,0,0,0,0,0,0,0,0,0,0,0,0,0
ÁreaProgramática5.1,671.041,21,55,153,877,1.926,932,272,108,30,24,58,130,4.586
XXXIIIRealengo,243.006,3,6,26,150,431,281,43,32,8,7,16,51,1.054
Deodoro,10.842,0,1,1,9,5,2,1,5,1,1,3,0,29
VilaMilitar,13.184,1,0,1,4,2,0,1,0,1,0,0,0,10
CampodosAfonsos,1.365,0,0,0,0,1,1,0,0,0,1,0,0,3
JardimSulacap,13.062,0,0,3,11,22,20,10,1,0,1,3,5,76
MagalhãesBastos,24.43,0,1,2,12,32,12,3,2,1,0,0,9,74
Realengo,180.123,2,4,19,114,369,246,28,24,5,4,10,37,862
XVIIBangu,428.035,18,49,127,727,1.495,651,229,76,22,17,42,79,3.532
PadreMiguel,64.228,2,5,19,169,297,150,45,7,2,1,2,14,713
Bangu,243.125,14,37,93,442,969,442,160,55,15,12,29,42,2.31
SenadorCamará,105.515,2,7,15,116,229,59,24,14,5,4,11,23,509
Gericino***,15.167,0,0,0,0,0,0,0,0,0,0,0,0,0
ÁreaProgramática5.2,665.198,8,17,84,238,345,171,57,32,26,21,47,119,1.165
XVIIICampoGrande,542.084,6,10,50,153,186,127,41,20,20,12,25,79,729
Santíssimo,41.458,2,5,9,25,36,4,4,0,1,0,3,5,94
CampoGrande,328.37,4,1,23,79,83,55,8,8,6,7,10,33,317
SenadorVasconcelos,30.6,0,0,1,8,7,13,9,0,0,0,5,20,63
Inhoaíba,64.649,0,3,5,12,26,17,13,10,11,5,6,9,117
Cosmos,77.007,0,1,12,29,34,38,7,2,2,0,1,12,138
XXVIGuaratiba,123.114,2,7,34,85,159,44,16,12,6,9,22,40,436
Guaratiba,110.049,2,7,28,71,147,39,15,12,5,9,17,33,385
BarradeGuaratiba,3.577,0,0,1,3,1,1,0,0,0,0,2,2,10
PedradeGuaratiba,9.488,0,0,5,11,11,4,1,0,1,0,3,5,41
ÁreaProgramática5.3,368.534,8,14,23,103,164,91,18,15,10,10,10,37,503
XIXSantaCruz,368.534,8,14,23,103,164,91,18,15,10,10,10,37,503
Paciência,94.626,2,7,13,20,37,40,7,7,6,2,5,4,150
SantaCruz,217.333,5,3,5,60,89,37,8,8,2,2,5,25,249
Sepetiba,56.575,1,4,5,23,38,14,3,0,2,6,0,8,104
